car_id,href,brand_model,production_year,price,volume,power,gearbox_type,mileage
32760944,https://auto.drom.ru/ekaterinburg/audi/a6/32760944.html,Audi A6,2015,2135000,2.0,190,робот,120000
37279078,https://auto.drom.ru/novosibirsk/audi/a6/37279078.html,Audi A6,2002,670000,3.0,220,АКПП,267500
38996310,https://auto.drom.ru/chelyabinsk/audi/tt/38996310.html,Audi TT,2009,1499999,2.0,200,робот,135000
42496430,https://auto.drom.ru/novosibirsk/audi/a6/42496430.html,Audi A6,2008,1250000,3.0,210,АКПП,240000
43778150,https://auto.drom.ru/irkutsk/audi/a3/43778150.html,Audi A3,2013,1500000,1.0,125,робот,206000
45424905,https://auto.drom.ru/ekaterinburg/audi/a6/45424905.html,Audi A6,2015,2100000,2.0,190,робот,198000
45610838,https://auto.drom.ru/kyahta/audi/a6/45610838.html,Audi A6,1999,375000,2.0,150,АКПП,254000
45835946,https://auto.drom.ru/abakan/audi/a6/45835946.html,Audi A6,2008,810000,2.0,170,вариатор,215000
45854074,https://auto.drom.ru/novosibirsk/audi/a6/45854074.html,Audi A6,2012,2150000,3.0,204,робот,192000
46866904,https://auto.drom.ru/ulan-ude/audi/q5/46866904.html,Audi Q5,2016,2700000,2.0,230,АКПП,108000
47429212,https://auto.drom.ru/irkutsk/audi/q3/47429212.html,Audi Q3,2013,1699000,2.0,170,робот,185000
47692114,https://auto.drom.ru/novosibirsk/audi/a2/47692114.html,Audi A2,2001,500000,1.0,75,механика,250000
48167588,https://auto.drom.ru/irkutsk/audi/a4/48167588.html,Audi A4,2009,1300000,2.0,160,вариатор,198000
48199749,https://auto.drom.ru/sevastopol/audi/a6/48199749.html,Audi A6,2001,600000,3.0,180,АКПП,220000
48295951,https://auto.drom.ru/ekaterinburg/audi/q5/48295951.html,Audi Q5,2021,7800000,2.0,249,робот,9600
48457497,https://auto.drom.ru/ulan-ude/audi/a3/48457497.html,Audi A3,2012,950000,1.0,105,робот,139000
48544974,https://auto.drom.ru/ulan-ude/audi/q3/48544974.html,Audi Q3,2012,1800000,2.0,170,робот,105000
48687459,https://auto.drom.ru/novorossiysk/audi/a6/48687459.html,Audi A6,2002,650000,3.0,220,АКПП,240000
49290907,https://auto.drom.ru/novosibirsk/audi/a4/49290907.html,Audi A4,2010,1300000,2.0,160,вариатор,180000
49453642,https://auto.drom.ru/magnitogorsk/audi/a4/49453642.html,Audi A4,2012,1550000,2.0,170,вариатор,268520
49755325,https://auto.drom.ru/argayash/audi/a6/49755325.html,Audi A6,2009,850000,2.0,170,вариатор,250000
49765420,https://auto.drom.ru/novosibirsk/audi/q7/49765420.html,Audi Q7,2017,4900000,3.0,249,АКПП,133000
49776030,https://auto.drom.ru/krasnoufimsk/audi/a4/49776030.html,Audi A4,2007,720000,2.0,200,вариатор,225000
49821725,https://auto.drom.ru/novokuznetsk/audi/q5/49821725.html,Audi Q5,2009,1450000,2.0,211,механика,175000
49865813,https://auto.drom.ru/kiselevsk/audi/a6/49865813.html,Audi A6,1997,350000,2.0,150,механика,270000
49866005,https://auto.drom.ru/maykop/audi/a8/49866005.html,Audi A8,1999,700000,4.0,260,АКПП,230000
49873146,https://auto.drom.ru/mirniy/audi/q5/49873146.html,Audi Q5,2018,3750000,2.0,190,робот,90000
50069252,https://auto.drom.ru/sevastopol/audi/a6/50069252.html,Audi A6,2008,1200000,3.0,180,АКПП,168000
50074916,https://auto.drom.ru/irkutsk/audi/q3/50074916.html,Audi Q3,2012,1750000,2.0,170,робот,150000
50112327,https://auto.drom.ru/krasnoyarsk/audi/a6/50112327.html,Audi A6,2016,3600000,2.0,249,робот,85000
50136111,https://auto.drom.ru/novosibirsk/audi/a6/50136111.html,Audi A6,2015,2550000,2.0,249,робот,155500
50643340,https://auto.drom.ru/irkutsk/audi/a7/50643340.html,Audi A7,2010,2100000,3.0,204,автомат,183000
50869423,https://auto.drom.ru/sharypovo/audi/a6/50869423.html,Audi A6,1997,500000,2.0,165,механика,324101
50879837,https://auto.drom.ru/tomsk/audi/a8/50879837.html,Audi A8,2005,1400000,6.0,450,АКПП,231000
50939260,https://auto.drom.ru/moscow/audi/q5/50939260.html,Audi Q5,2022,7300000,3.0,249,АКПП,50
50979841,https://auto.drom.ru/moscow/audi/a4/50979841.html,Audi A4,2018,3500000,2.0,190,робот,75000
51040159,https://auto.drom.ru/novosibirsk/audi/rs_q8/51040159.html,Audi RS Q8,2021,15990000,4.0,600,АКПП,19415
51097300,https://auto.drom.ru/tyumen/audi/a6/51097300.html,Audi A6,2012,1890000,3.0,245,робот,255000
51127141,https://auto.drom.ru/novosibirsk/audi/q7/51127141.html,Audi Q7,2007,1500000,4.0,350,АКПП,280000
51137221,https://auto.drom.ru/novosibirsk/audi/a6_allroad_quattro/51137221.html,Audi A6 allroad quattro,2013,2400000,3.0,310,робот,157000
51142284,https://auto.drom.ru/moscow/audi/cabriolet/51142284.html,Audi Cabriolet,1994,2200000,3.0,150,автомат,120000
51288678,https://auto.drom.ru/ekaterinburg/audi/a6/51288678.html,Audi A6,2014,2350000,2.0,180,вариатор,220000
51306075,https://auto.drom.ru/irkutsk/audi/a6/51306075.html,Audi A6,2016,3900000,3.0,333,робот,53000
51317857,https://auto.drom.ru/korzhevskiy/audi/a6/51317857.html,Audi A6,2011,1500000,2.0,180,автомат,156000
51364738,https://auto.drom.ru/magadan/audi/a6/51364738.html,Audi A6,2015,2750000,3.0,333,робот,120000
51609673,https://auto.drom.ru/krasnoyarsk/audi/a8/51609673.html,Audi A8,2004,599999,4.0,335,АКПП,250000
51670794,https://auto.drom.ru/kazan/audi/q5/51670794.html,Audi Q5,2019,4990000,2.0,190,робот,23442
51708160,https://auto.drom.ru/divnogorsk/audi/a6/51708160.html,Audi A6,1998,250000,3.0,193,механика,125489
51749426,https://auto.drom.ru/homutovo-irk/audi/a4/51749426.html,Audi A4,2010,910000,2.0,160,вариатор,100000
51776705,https://auto.drom.ru/simferopol/audi/q5/51776705.html,Audi Q5,2013,1650000,2.0,225,АКПП,147000
51853248,https://auto.drom.ru/ussuriisk/audi/a4/51853248.html,Audi A4,2019,3200000,2.0,249,робот,50000
52071203,https://auto.drom.ru/surgut/audi/a6/52071203.html,Audi A6,2011,2500000,3.0,245,робот,227000
52108848,https://auto.drom.ru/volgograd/audi/q7/52108848.html,Audi Q7,2021,7300000,2.0,252,автомат,56367
52119287,https://auto.drom.ru/moscow/audi/s6/52119287.html,Audi S6,2002,1140000,4.0,340,АКПП,107000
52120471,https://auto.drom.ru/bogandinskiy/audi/a6/52120471.html,Audi A6,2002,520000,2.0,170,вариатор,332000
52123041,https://auto.drom.ru/udomlya/audi/a4/52123041.html,Audi A4,1995,300000,2.0,125,механика,300000
52138203,https://auto.drom.ru/nizhnevartovsk/audi/q5/52138203.html,Audi Q5,2019,4999999,2.0,249,робот,54565
52154672,https://auto.drom.ru/moscow/audi/q7/52154672.html,Audi Q7,2019,6230000,3.0,286,АКПП,52093
52237842,https://auto.drom.ru/krasnoyarsk/audi/q8/52237842.html,Audi Q8,2018,7399000,3.0,340,АКПП,80000
52283077,https://auto.drom.ru/habarovsk/audi/a5/52283077.html,Audi A5,2015,2300000,2.0,210,автомат,91000
52284844,https://auto.drom.ru/vladivostok/audi/q2/52284844.html,Audi Q2,2019,1999000,1.0,116,робот,16000
52346623,https://auto.drom.ru/kemerovo/audi/q7/52346623.html,Audi Q7,2017,5600000,3.0,249,АКПП,247000
52388119,https://auto.drom.ru/minsk/audi/q5/52388119.html,Audi Q5,2019,4569137,3.0,231,АКПП,148967
52417647,https://auto.drom.ru/krasnoyarsk/audi/a6/52417647.html,Audi A6,2011,1250000,2.0,170,вариатор,220000
52422637,https://auto.drom.ru/barnaul/audi/a6/52422637.html,Audi A6,2022,6500000,2.0,252,робот,24500
52434903,https://auto.drom.ru/ekaterinburg/audi/a4/52434903.html,Audi A4,2003,600000,2.0,150,механика,265000
52462833,https://auto.drom.ru/irkutsk/audi/a4/52462833.html,Audi A4,2018,2680000,1.0,150,робот,75500
