car_id,href,brand_model,production_year,price,volume,power,gearbox_type,mileage
32311263,https://auto.drom.ru/surgut/toyota/camry/32311263.html,Toyota Camry,2012,1999999,3.0,181,АКПП,185000
36819888,https://auto.drom.ru/habarovsk/toyota/camry/36819888.html,Toyota Camry,2014,1900000,3.0,181,АКПП,200000
41603096,https://auto.drom.ru/nizhnevartovsk/toyota/camry/41603096.html,Toyota Camry,2018,2799999,3.0,181,АКПП,97000
44573904,https://auto.drom.ru/habarovsk/toyota/camry/44573904.html,Toyota Camry,2014,1750000,3.0,178,АКПП,134000
45243484,https://auto.drom.ru/irkutsk/toyota/camry/45243484.html,Toyota Camry,2018,3000000,3.0,181,АКПП,72100
45563320,https://auto.drom.ru/krasnoyarsk/toyota/camry/45563320.html,Toyota Camry,2015,2265000,3.0,181,АКПП,125000
45877102,https://auto.drom.ru/chelyabinsk/toyota/camry/45877102.html,Toyota Camry,2016,2350000,3.0,181,АКПП,134000
46077185,https://auto.drom.ru/volno-nadezhdinskoe/toyota/camry/46077185.html,Toyota Camry,2014,1999999,3.0,160,вариатор,200000
46193472,https://auto.drom.ru/chita/toyota/camry/46193472.html,Toyota Camry,2015,2450000,3.0,181,АКПП,162000
48555240,https://auto.drom.ru/irkutsk/toyota/camry/48555240.html,Toyota Camry,2015,2000000,3.0,160,вариатор,210000
49056828,https://auto.drom.ru/tobolsk/toyota/camry/49056828.html,Toyota Camry,2013,1960000,3.0,181,АКПП,198500
49121757,https://auto.drom.ru/bryansk/toyota/camry/49121757.html,Toyota Camry,2015,2200000,3.0,181,АКПП,185000
49238713,https://auto.drom.ru/omsk/toyota/camry/49238713.html,Toyota Camry,2015,2100000,3.0,181,АКПП,156000
49284152,https://auto.drom.ru/krasnoyarsk/toyota/camry/49284152.html,Toyota Camry,2019,3200000,3.0,181,АКПП,80000
49398238,https://auto.drom.ru/yalta/toyota/camry/49398238.html,Toyota Camry,2016,1630000,3.0,181,АКПП,79000
49704588,https://auto.drom.ru/spassk-dalniy/toyota/camry/49704588.html,Toyota Camry,2017,2330000,3.0,181,АКПП,130000
49774287,https://auto.drom.ru/novosibirsk/toyota/camry/49774287.html,Toyota Camry,2018,2750000,2.0,150,АКПП,50000
49828824,https://auto.drom.ru/blagoveshchensk/toyota/camry/49828824.html,Toyota Camry,2017,2450000,3.0,181,АКПП,93000
49842909,https://auto.drom.ru/chita/toyota/camry/49842909.html,Toyota Camry,2019,4100000,4.0,249,АКПП,60000
49910388,https://auto.drom.ru/spb/toyota/camry/49910388.html,Toyota Camry,2018,3190000,3.0,181,АКПП,99000
49939669,https://auto.drom.ru/ussuriisk/toyota/camry/49939669.html,Toyota Camry,2011,1630000,3.0,160,вариатор,220000
50098685,https://auto.drom.ru/rostov-na-donu/toyota/camry/50098685.html,Toyota Camry,2020,3600000,3.0,181,АКПП,40000
50430145,https://auto.drom.ru/nakhodka/toyota/camry/50430145.html,Toyota Camry,2018,2380000,3.0,178,вариатор,160
